step,charts/episodic_return_mean,charts/episodic_return_mean_eval,track,method,experiment
2195456,5.952381134033203,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2211840,6.296296119689941,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2228224,5.906040191650391,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2244608,5.454545497894287,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2260992,5.517241477966309,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2277376,6.288659572601318,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2293760,6.504065036773682,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2310144,6.0740742683410645,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2326528,5.6692914962768555,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2342912,5.971222877502441,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2359296,5.398773193359375,5.21400785446167,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2375680,6.491228103637695,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2392064,5.7936506271362305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2408448,5.931034564971924,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2424832,5.7936506271362305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2441216,5.253164768218994,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2457600,5.579710006713867,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2473984,5.7936506271362305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2490368,5.461538314819336,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2506752,6.518518447875977,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2523136,5.443037986755371,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2539520,5.864661693572998,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2555904,5.245901584625244,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2572288,4.8275861740112305,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2588672,6.090225696563721,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2605056,5.979381561279297,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2621440,5.865384578704834,5.3125,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2637824,5.263157844543457,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2654208,6.0,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2670592,5.2040815353393555,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2686976,5.55555534362793,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2703360,6.49350643157959,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2719744,4.91525411605835,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2736128,4.489795684814453,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2752512,5.111111164093018,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2768896,5.267857074737549,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2785280,6.292134761810303,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2801664,5.333333492279053,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2818048,4.888888835906982,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2834432,4.383561611175537,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2850816,5.857142925262451,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2867200,5.55555534362793,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2883584,6.081080913543701,5.703125,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2899968,6.666666507720947,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2916352,5.185184955596924,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2932736,5.60606050491333,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2949120,4.6052632331848145,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2965504,5.4285712242126465,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2981888,4.736842155456543,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
2998272,4.705882549285889,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3014656,4.918032646179199,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3031040,4.864864826202393,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3047424,5.0,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3063808,5.0,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3080192,4.599999904632568,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3096576,5.0,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3112960,5.277777671813965,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
3129344,4.861111164093018,,gen,impala_ent_coef_0_005,ninja_impala_ent_coef_0_005_agent=impala_seed=0_time=1681259932
